customer_id,total_transactions,total_spend,avg_transaction,std_transaction,total_items,avg_items,first_purchase,last_purchase,tenure_days,recency_days,cluster
12346,11,372.86,11.298787878787879,8.970365014025266,70,2.121212121212121,2009-12-14 08:34:00,2010-06-28 13:53:00,196,164,1
12347,2,1252.52,17.893142857142855,8.337584285536579,804,11.485714285714286,2010-10-31 14:20:00,2010-12-07 14:57:00,37,2,1
12348,1,222.16,11.108,4.545074372618295,373,18.65,2010-09-27 14:59:00,2010-09-27 14:59:00,0,73,1
12349,2,1708.84,18.37462365591398,6.987714305516592,893,9.602150537634408,2010-04-29 13:20:00,2010-10-28 08:23:00,181,42,0
12351,1,300.93,14.33,4.014716677425693,261,12.428571428571429,2010-11-29 15:23:00,2010-11-29 15:23:00,0,10,1
12352,2,343.8,19.1,6.649237019476481,188,10.444444444444445,2010-11-12 10:20:00,2010-11-29 10:07:00,16,10,1
12353,1,317.76,15.888,7.941850241798689,192,9.6,2010-10-27 12:44:00,2010-10-27 12:44:00,0,43,1
12355,1,338.21,17.800526315789472,8.83573582025742,231,12.157894736842104,2010-05-21 11:59:00,2010-05-21 11:59:00,0,202,1
12356,3,865.45,15.735454545454546,12.077082339916288,639,11.618181818181819,2010-10-11 09:42:00,2010-11-24 12:24:00,44,15,1
12357,1,2643.57,24.477500000000003,13.846705139646003,1528,14.148148148148149,2010-11-16 10:05:00,2010-11-16 10:05:00,0,23,1
12358,3,800.3100000000001,17.784666666666666,9.845574363410933,400,8.88888888888889,2009-12-08 07:59:00,2010-11-29 10:56:00,356,10,0
12359,6,2038.26,18.529636363636364,7.5519730610127205,704,6.4,2009-12-05 13:32:00,2010-10-10 11:16:00,308,60,0
12360,4,1282.19,15.636463414634147,8.783361567450752,1024,12.487804878048781,2010-02-22 09:32:00,2010-11-12 11:31:00,263,27,0
12361,3,321.35,16.913157894736845,3.9962427529306677,144,7.578947368421052,2010-01-26 14:37:00,2010-09-03 15:19:00,220,97,1
12368,1,290.7,29.07,12.050915133530545,202,20.2,2010-03-21 15:56:00,2010-03-21 15:56:00,0,263,1
12369,3,1442.43,15.85087912087912,7.423092294897001,1148,12.615384615384615,2010-03-08 08:09:00,2010-10-22 13:13:00,228,48,0
12370,3,614.62,18.077058823529413,6.2744810382584815,248,7.294117647058823,2010-02-09 09:41:00,2010-03-25 12:10:00,44,259,1
12371,3,1859.42,18.229607843137256,8.5230679319951,837,8.205882352941176,2010-03-04 18:23:00,2010-10-26 13:37:00,235,44,0
12373,2,603.0500000000001,17.23,8.454473232973113,315,9.0,2010-02-04 12:08:00,2010-03-25 13:49:00,49,259,1
12374,2,1258.79,33.12605263157894,13.430499686720257,773,20.342105263157894,2010-04-30 14:01:00,2010-10-14 10:16:00,166,56,1
12376,2,183.15,20.35,10.135025900312241,94,10.444444444444445,2010-10-18 08:42:00,2010-11-15 12:15:00,28,24,1
12377,2,1496.32,21.375999999999998,9.875287909947128,963,13.757142857142858,2010-04-29 15:34:00,2010-11-23 19:24:00,208,16,0
12378,1,1373.62,17.17025,7.4635633012589055,691,8.6375,2010-05-26 14:07:00,2010-05-26 14:07:00,0,197,1
12379,2,767.98,18.73121951219512,7.948060202062499,408,9.951219512195122,2010-06-23 12:49:00,2010-10-13 14:46:00,112,57,1
12380,4,3263.52,21.90281879194631,10.27154545600513,1756,11.78523489932886,2010-02-15 12:05:00,2010-08-31 14:54:00,197,100,0
12385,1,1219.1,21.387719298245614,10.488396142122264,540,9.473684210526315,2010-11-25 15:14:00,2010-11-25 15:14:00,0,14,1
12386,1,144.3,24.05,5.584890330167639,82,13.666666666666666,2010-12-08 09:53:00,2010-12-08 09:53:00,0,1,1
12387,1,143.94,15.993333333333332,7.734248509066669,134,14.88888888888889,2010-10-20 16:27:00,2010-10-20 16:27:00,0,50,1
12388,2,803.7,19.602439024390247,9.878260925002895,454,11.073170731707316,2010-05-06 12:54:00,2010-09-20 12:41:00,136,80,1
12389,3,1064.18,23.13434782608696,13.046078960050949,521,11.326086956521738,2010-02-22 10:15:00,2010-11-02 11:52:00,253,37,0
12391,4,1810.48,10.712899408284024,7.570162402835046,829,4.905325443786983,2010-02-15 10:12:00,2010-09-01 12:38:00,198,99,0
12392,1,93.15,18.630000000000003,4.382008671830762,25,5.0,2010-04-27 14:04:00,2010-04-27 14:04:00,0,226,1
12393,2,816.85,18.996511627906976,9.68845284314834,495,11.511627906976743,2010-10-07 13:49:00,2010-11-22 16:10:00,46,17,1
